epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0027,0.99539,3.14647,1.09877,0.2549,0.62014,0.27065,0.18588,1.18197,2.31977,1.05419,0.003,0.003,0.003
2,21.1566,0.8296,2.05252,0.99321,0.25482,0.77172,0.32088,0.21738,1.25209,1.55519,1.06897,0.00609396,0.00609396,0.00609396
3,29.1902,0.79955,1.65487,0.99728,0.46279,0.72051,0.56511,0.33804,1.4983,1.25394,1.23476,0.00918178,0.00918178,0.00918178
4,38.5262,0.72289,1.18625,0.96866,0.68836,0.80402,0.70056,0.46043,1.28228,1.09806,1.15483,0.0099703,0.0099703,0.0099703
5,47.2431,0.68727,0.92263,0.95078,0.84866,0.77245,0.86031,0.6607,0.80551,0.7409,0.96345,0.0099604,0.0099604,0.0099604
6,55.0967,0.68819,0.72876,0.95433,0.89965,0.86956,0.92351,0.67016,0.977,0.60376,1.01151,0.0099505,0.0099505,0.0099505
7,63.6883,0.64502,0.63983,0.93674,0.95132,0.86944,0.93084,0.77934,0.59973,0.48802,0.9165,0.0099406,0.0099406,0.0099406
8,71.7463,0.62576,0.59388,0.93689,0.91162,0.85254,0.92129,0.73417,0.6957,0.4978,0.93698,0.0099307,0.0099307,0.0099307
9,79.9598,0.60443,0.55087,0.9292,0.96652,0.89146,0.96253,0.74299,0.75886,0.49752,0.94389,0.0099208,0.0099208,0.0099208
10,87.8985,0.61641,0.52815,0.9442,0.91907,0.91638,0.94327,0.80074,0.54604,0.41237,0.90005,0.0099109,0.0099109,0.0099109
11,96.3954,0.5956,0.51108,0.93402,0.93985,0.92778,0.9616,0.75416,0.77336,0.46399,0.93812,0.009901,0.009901,0.009901
12,103.95,0.59018,0.49257,0.91909,0.93459,0.86856,0.94559,0.80719,0.50387,0.44439,0.89295,0.0098911,0.0098911,0.0098911
13,112.486,0.5741,0.47272,0.91968,0.93704,0.9178,0.94854,0.81402,0.52356,0.41641,0.8938,0.0098812,0.0098812,0.0098812
14,121.305,0.57745,0.46052,0.92853,0.92937,0.91692,0.954,0.80414,0.57442,0.43482,0.90203,0.0098713,0.0098713,0.0098713
15,130.146,0.56033,0.44518,0.92373,0.96212,0.93671,0.97168,0.8238,0.48319,0.35334,0.88284,0.0098614,0.0098614,0.0098614
16,138.729,0.54957,0.4489,0.91329,0.95696,0.92571,0.96104,0.82907,0.48932,0.35345,0.88272,0.0098515,0.0098515,0.0098515
17,148.128,0.56641,0.44803,0.92144,0.9697,0.92497,0.95813,0.81461,0.5673,0.36896,0.89466,0.0098416,0.0098416,0.0098416
18,156.945,0.55136,0.43003,0.91734,0.98816,0.93501,0.96008,0.84065,0.48058,0.35995,0.88597,0.0098317,0.0098317,0.0098317
